sessionFile,Practice,distPresence,trialType,chooseSessions.thisRepN,chooseSessions.thisTrialN,chooseSessions.thisN,chooseSessions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block,RespRT,targetShape,dist1Shape,dist2Shape,dist3Shape,dist4Shape,targetLoc,dist1Loc,dist2Loc,dist3Loc,dist4Loc,dist1Color,dist2Color,dist3Color,dist4Color,distPresence,singletonDistNumber,singletonResp,singleton distractor,targetResp,corrResp,Response_key,dist1Resp,dist2Resp,dist3Resp,dist4Resp,majorityColorName,majorityColor,singletonColor,singletonColorName,Response.keys,Response.corr,Response.rt,participant,study,session,age,gender,handedness,vision,date,expName,psychopyVersion,frameRate
practice.xlsx,practice,absent,search,0,0,0,0,0,0,0,3,0,1201.8082,circle,rectangle,pentagon,hexagon,diamond,DM,DR,UL,DL,UR,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,right,2,2,right,right,left,left,grey,#6A6A6A,#6A6A6A,absent,num_2,1,1.2018082,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
practice.xlsx,practice,absent,search,0,0,0,0,0,1,1,10,0,1463.7575,circle,rectangle,pentagon,hexagon,diamond,UL,DM,DL,DR,UR,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,left,1,1,right,left,right,left,grey,#6A6A6A,#6A6A6A,absent,num_1,1,1.4637575,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
practice.xlsx,practice,absent,search,0,0,0,0,0,2,2,2,0,1289.9862,circle,rectangle,pentagon,hexagon,diamond,DL,DM,UR,DR,UL,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,left,1,1,left,right,left,right,grey,#6A6A6A,#6A6A6A,absent,num_1,1,1.2899862,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
practice.xlsx,practice,absent,search,0,0,0,0,0,3,3,9,0,1108.2368,circle,rectangle,pentagon,hexagon,diamond,DR,DL,UR,DM,UL,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,left,1,1,right,right,left,right,grey,#6A6A6A,#6A6A6A,absent,num_1,1,1.1082368,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
practice.xlsx,practice,absent,search,0,0,0,0,0,4,4,8,0,1252.6375,circle,rectangle,pentagon,hexagon,diamond,UR,DM,DL,DR,UL,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,left,1,1,right,left,right,left,grey,#6A6A6A,#6A6A6A,absent,num_1,1,1.2526375,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
practice.xlsx,practice,absent,search,0,0,0,0,0,5,5,7,0,750.912,circle,rectangle,pentagon,hexagon,diamond,UR,DL,DR,DM,UL,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,right,2,2,left,right,left,left,grey,#6A6A6A,#6A6A6A,absent,num_2,1,0.750912,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
practice.xlsx,practice,absent,search,0,0,0,0,0,6,6,18,0,1421.5193,circle,rectangle,pentagon,hexagon,diamond,DL,UR,UL,DR,DM,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,right,2,2,right,right,left,left,grey,#6A6A6A,#6A6A6A,absent,num_2,1,1.4215193,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
practice.xlsx,practice,absent,search,0,0,0,0,0,7,7,5,0,1219.8254,circle,rectangle,pentagon,hexagon,diamond,DM,UL,UR,DL,DR,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,right,2,2,left,right,left,right,grey,#6A6A6A,#6A6A6A,absent,num_2,1,1.2198254,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
practice.xlsx,practice,absent,search,0,0,0,0,0,8,8,19,0,1121.5542,circle,rectangle,pentagon,hexagon,diamond,DR,DM,DL,UR,UL,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,right,2,2,right,left,left,left,grey,#6A6A6A,#6A6A6A,absent,num_2,1,1.1215542,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
practice.xlsx,practice,absent,search,0,0,0,0,0,9,9,14,0,926.4573001,circle,rectangle,pentagon,hexagon,diamond,DM,DL,UR,DR,UL,#6A6A6A,#6A6A6A,#6A6A6A,#6A6A6A,absent,absent,absent,absent,right,2,2,right,left,right,left,grey,#6A6A6A,#6A6A6A,absent,num_2,1,0.9264573,13995,1,1,21,f,right,normal,2022_Dec_06_1204,ADD/ADHD_FSM_NoProbe_version1,2021.1.4,99.91337505
