"N","i","block_halfSecondXdistPresencepresent","block_halfSecondXdistPresencepresentXgroupADHD"
NA,NA,NA,NA
20,1,FALSE,FALSE
20,2,TRUE,TRUE
20,3,TRUE,FALSE
20,4,TRUE,FALSE
20,5,TRUE,FALSE
20,6,TRUE,FALSE
20,7,TRUE,FALSE
20,8,FALSE,FALSE
20,9,TRUE,TRUE
20,10,TRUE,FALSE
50,1,TRUE,FALSE
50,2,TRUE,TRUE
50,3,TRUE,TRUE
50,4,TRUE,TRUE
50,5,TRUE,TRUE
50,6,TRUE,TRUE
50,7,TRUE,TRUE
50,8,TRUE,TRUE
50,9,TRUE,TRUE
50,10,TRUE,TRUE
100,1,TRUE,TRUE
30,1,TRUE,TRUE
30,2,TRUE,TRUE
30,3,TRUE,TRUE
30,4,TRUE,TRUE
30,5,TRUE,TRUE
30,6,TRUE,TRUE
30,7,TRUE,FALSE
30,8,TRUE,TRUE
30,9,TRUE,TRUE
30,10,TRUE,TRUE
30,1,FALSE,FALSE
30,2,TRUE,TRUE
30,3,TRUE,TRUE
30,4,TRUE,FALSE
30,5,TRUE,TRUE
30,6,TRUE,FALSE
30,7,TRUE,FALSE
35,1,TRUE,TRUE
35,2,TRUE,TRUE
35,3,TRUE,TRUE
35,4,TRUE,TRUE
35,5,TRUE,TRUE
35,6,TRUE,TRUE
